,provider_name,provider_id,quarter,score
0,A Friend's House ,563,Q1,105.0
1,A Friend's House ,563,Q2,108.15
2,A Friend's House ,563,Q3,104.55
3,A Friend's House ,563,Q4,108.21
4,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q1,96.59
5,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q2,92.75
6,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q3,93.28
7,Advocates for Bartow's ChildrenFlowering Branch Children's Shelter,564,Q4,90.98
8,"Agape Behavioral Healthcare, Inc.",694,Q1,85.32
9,"Agape Behavioral Healthcare, Inc.",694,Q2,78.53
10,"Agape Behavioral Healthcare, Inc.",694,Q3,54.94
11,"Agape Behavioral Healthcare, Inc.",694,Q4,72.67
12,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q1,87.77
13,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q2,97.53
14,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q3,100.3
15,"Alyssa and Brothers, Inc. dba RowleyResidence #2 ",908,Q4,94.22
16,Appalachian Children's EmergencyShelter ,5167,Q3,104.0
17,Appalachian Children's EmergencyShelter ,5167,Q4,72.57
18,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q1,107.5
19,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q2,97.47
20,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q3,105.62
21,"Ark Family Counseling Center, TheRicky Homes/Dallas ",569,Q4,104.01
22,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q1,92.36
23,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q2,99.1
24,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q3,93.55
25,"Ark Family Counseling Center, TheRicky Homes/Decatur ",571,Q4,105.67
26,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q1,104.92
27,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q2,101.99
28,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q3,103.64
29,"Ark Family Counseling Center, TheRicky Homes/Lithonia ",591,Q4,103.64
30,"Ark Family Counseling Center, TheRicky Homes/Powder Springs ",570,Q1,105.5
31,"Ark Family Counseling Center, TheRicky Homes/Powder Springs ",570,Q2,109.67
32,"Ark Family Counseling Center, TheRicky Homes/Powder Springs ",570,Q3,105.67
33,"Ark Family Counseling Center, TheRicky Homes/Powder Springs ",570,Q4,105.67
34,"Bald Ridge Lodge, Inc. Bald RidgeLodge ",4124,Q1,92.18
35,"Bald Ridge Lodge, Inc. Bald RidgeLodge ",4124,Q2,94.95
36,"Bald Ridge Lodge, Inc. Bald RidgeLodge ",4124,Q3,98.26
37,"Bald Ridge Lodge, Inc. Bald RidgeLodge ",4124,Q4,96.48
38,Behavioral Health Services of SouthGA dba Lowndes C & A North PointGroup Home (Valdosta) ,866,Q1,81.57
39,Behavioral Health Services of SouthGA dba Lowndes C & A North PointGroup Home (Valdosta) ,866,Q2,81.13
40,Behavioral Health Services of SouthGA dba Lowndes C & A North PointGroup Home (Valdosta) ,866,Q3,81.3
41,Behavioral Health Services of SouthGA dba Lowndes C & A North PointGroup Home (Valdosta) ,866,Q4,81.26
42,Beth-Ester Ministries dbaRestoration House 1 ,817,Q1,100.38
43,Beth-Ester Ministries dbaRestoration House 1 ,817,Q2,101.49
44,Beth-Ester Ministries dbaRestoration House 1 ,817,Q3,98.44
45,Beth-Ester Ministries dbaRestoration House 1 ,817,Q4,100.57
46,Broken Shackle Ranch ,576,Q1,97.9
47,Broken Shackle Ranch ,576,Q2,98.27
48,Broken Shackle Ranch ,576,Q3,101.25
49,Broken Shackle Ranch ,576,Q4,100.75
50,"Carl Malone Foundation, Inc. Mercy'sDoor - IV ",5142,Q1,27.5
51,"Carl Malone Foundation, Inc. Mercy'sDoor - IV ",5142,Q2,77.17
52,"Carl Malone Foundation, Inc. Mercy'sDoor - IV ",5142,Q3,93.9
53,"Carl Malone Foundation, Inc. Mercy'sDoor - IV ",5142,Q4,98.93
54,"Carl Malone Foundation, Inc. Mercy'sDoor I ",993,Q1,94.98
55,"Carl Malone Foundation, Inc. Mercy'sDoor I ",993,Q2,98.24
56,"Carl Malone Foundation, Inc. Mercy'sDoor I ",993,Q3,95.73
57,"Carl Malone Foundation, Inc. Mercy'sDoor I ",993,Q4,96.49
58,"Carl Malone Foundation, Inc. Mercy'sDoor II ",994,Q1,101.37
59,"Carl Malone Foundation, Inc. Mercy'sDoor II ",994,Q2,102.91
60,"Carl Malone Foundation, Inc. Mercy'sDoor II ",994,Q3,107.71
61,"Carl Malone Foundation, Inc. Mercy'sDoor II ",994,Q4,97.09
62,"Carl Malone Foundation, Inc. Mercy'sDoor III ",1041,Q1,106.5
63,"Carl Malone Foundation, Inc. Mercy'sDoor III ",1041,Q2,107.6
64,"Carl Malone Foundation, Inc. Mercy'sDoor III ",1041,Q3,107.43
65,"Carl Malone Foundation, Inc. Mercy'sDoor III ",1041,Q4,100.87
66,"Carrie Steele-Pitts Home, Inc. ",577,Q1,104.98
67,"Carrie Steele-Pitts Home, Inc. ",577,Q2,101.1
68,"Carrie Steele-Pitts Home, Inc. ",577,Q3,90.47
69,"Carrie Steele-Pitts Home, Inc. ",577,Q4,101.18
70,"Center for Children and YoungAdults, The Another Chance ",578,Q1,98.32
71,"Center for Children and YoungAdults, The Another Chance ",578,Q2,95.29
72,"Center for Children and YoungAdults, The Another Chance ",578,Q3,80.45
73,"Center for Children and YoungAdults, The Another Chance ",578,Q4,90.66
74,"Center for Children and YoungAdults, The Life Works (formerlyTurning Point) ",580,Q1,48.36
75,"Center for Children and YoungAdults, The Life Works (formerlyTurning Point) ",580,Q2,39.4
76,"Center for Children and YoungAdults, The Life Works (formerlyTurning Point) ",580,Q3,41.79
77,"Center for Children and YoungAdults, The Life Works (formerlyTurning Point) ",580,Q4,53.08
78,"Center for Children and YoungAdults, The Life Works Prep ",5114,Q1,41.95
79,"Center for Children and YoungAdults, The Life Works Prep ",5114,Q2,46.38
80,"Center for Children and YoungAdults, The Life Works Prep ",5114,Q3,43.85
81,"Center for Children and YoungAdults, The Life Works Prep ",5114,Q4,30.06
82,"Center for Children and YoungAdults, The Open Gate ",579,Q1,85.12
83,"Center for Children and YoungAdults, The Open Gate ",579,Q2,86.7
84,"Center for Children and YoungAdults, The Open Gate ",579,Q3,66.69
85,"Center for Children and YoungAdults, The Open Gate ",579,Q4,69.89
86,Chestnut Manor ,581,Q1,84.56
87,Chestnut Manor ,581,Q2,80.34
88,Chestnut Manor ,581,Q3,82.49
89,Chestnut Manor ,581,Q4,80.8
90,"CHRIS Kids, Inc. Dekalb ",597,Q1,94.15
91,"CHRIS Kids, Inc. Dekalb ",597,Q2,90.4
92,"CHRIS Kids, Inc. Dekalb ",597,Q3,82.17
93,"CHRIS Kids, Inc. Dekalb ",597,Q4,88.99
94,"CHRIS Kids, Inc. Douglas ",598,Q1,100.07
95,"CHRIS Kids, Inc. Douglas ",598,Q2,97.21
96,"CHRIS Kids, Inc. Douglas ",598,Q3,97.54
97,"CHRIS Kids, Inc. Douglas ",598,Q4,91.88
98,"CHRIS Kids, Inc. Ellenwood ",599,Q1,94.51
99,"CHRIS Kids, Inc. Ellenwood ",599,Q2,85.7
100,"CHRIS Kids, Inc. Ellenwood ",599,Q3,75.36
101,"CHRIS Kids, Inc. Ellenwood ",599,Q4,84.42
102,"CHRIS Kids, Inc. Fulton ",601,Q1,103.16
103,"CHRIS Kids, Inc. Fulton ",601,Q2,100.18
104,"CHRIS Kids, Inc. Fulton ",601,Q3,98.79
105,"CHRIS Kids, Inc. Fulton ",601,Q4,104.59
106,"CHRIS Kids, Inc. Gwinnett ",602,Q1,102.29
107,"CHRIS Kids, Inc. Gwinnett ",602,Q2,93.06
108,"CHRIS Kids, Inc. Gwinnett ",602,Q3,97.57
109,"CHRIS Kids, Inc. Gwinnett ",602,Q4,93.71
110,"CHRIS Kids, Inc. Rock Shadow ",617,Q1,91.03
111,"CHRIS Kids, Inc. Rock Shadow ",617,Q2,96.33
112,"CHRIS Kids, Inc. Rock Shadow ",617,Q3,96.22
113,"CHRIS Kids, Inc. Rock Shadow ",617,Q4,103.54
114,"CHRIS Kids, Inc. Sherwood ",604,Q1,99.66
115,"CHRIS Kids, Inc. Sherwood ",604,Q2,93.03
116,"CHRIS Kids, Inc. Sherwood ",604,Q3,95.5
117,"CHRIS Kids, Inc. Sherwood ",604,Q4,99.55
118,"CHRIS Kids, Inc. Stephenson ",605,Q1,91.04
119,"CHRIS Kids, Inc. Stephenson ",605,Q2,86.48
120,"CHRIS Kids, Inc. Stephenson ",605,Q3,84.99
121,"CHRIS Kids, Inc. Stephenson ",605,Q4,92.99
122,"CHRIS Kids, Inc. Summit Trail BoysILP ",4675,Q1,62.32
123,"CHRIS Kids, Inc. Summit Trail BoysILP ",4675,Q2,61.01
124,"CHRIS Kids, Inc. Summit Trail BoysILP ",4675,Q3,36.31
125,"CHRIS Kids, Inc. Summit Trail BoysILP ",4675,Q4,57.59
126,"CHRIS Kids, Inc. Summit Trail GirlsILP ",4674,Q1,67.99
127,"CHRIS Kids, Inc. Summit Trail GirlsILP ",4674,Q2,55.87
128,"CHRIS Kids, Inc. Summit Trail GirlsILP ",4674,Q3,35.13
129,"CHRIS Kids, Inc. Summit Trail GirlsILP ",4674,Q4,60.15
130,Christian City Home for Children,585,Q1,107.46
131,Christian City Home for Children,585,Q2,103.01
132,Christian City Home for Children,585,Q3,100.12
133,Christian City Home for Children,585,Q4,100.84
134,Community Growth Children'sAcademy ,5169,Q3,82.18
135,Community Growth Children'sAcademy ,5169,Q4,96.51
136,"Coweta Teen Mothers & BabeService Center, Inc. ",5145,Q1,97.33
137,"Coweta Teen Mothers & BabeService Center, Inc. ",5145,Q2,75.53
138,"Coweta Teen Mothers & BabeService Center, Inc. ",5145,Q3,56.45
139,"Coweta Teen Mothers & BabeService Center, Inc. ",5145,Q4,64.36
140,Deloach Group Home ,619,Q1,103.17
141,Deloach Group Home ,619,Q2,101.27
142,Deloach Group Home ,619,Q3,100.6
143,Deloach Group Home ,619,Q4,103.0
144,Devereux GA Treatment NetworkMAAC Plus ,5134,Q1,105.73
145,Devereux GA Treatment NetworkMAAC Plus ,5134,Q2,98.13
146,Devereux GA Treatment NetworkMAAC Plus ,5134,Q3,99.9
147,Devereux GA Treatment NetworkMAAC Plus ,5134,Q4,101.29
148,Devereux GA Treatment NetworkProject Plus ,4429,Q1,100.5
149,Devereux GA Treatment NetworkProject Plus ,4429,Q2,102.75
150,Devereux GA Treatment NetworkProject Plus ,4429,Q3,103.31
151,Devereux GA Treatment NetworkProject Plus ,4429,Q4,102.19
152,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Job ",4582,Q1,76.35
153,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Job ",4582,Q2,78.41
154,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Job ",4582,Q3,57.62
155,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Job ",4582,Q4,66.46
156,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Samuel",4581,Q1,82.2
157,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Samuel",4581,Q2,78.39
158,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Samuel",4581,Q3,57.93
159,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) House of Samuel",4581,Q4,74.77
160,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) Lighthouse ",956,Q1,76.2
161,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) Lighthouse ",956,Q2,77.57
162,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) Lighthouse ",956,Q3,67.02
163,"Dream House Youth Services, Inc.(formerly Ctr for Creative Growth &Human Dvlpmt) Lighthouse ",956,Q4,71.93
164,Elks Aidmore Children's Center ,628,Q1,99.28
165,Elks Aidmore Children's Center ,628,Q2,95.81
166,Elks Aidmore Children's Center ,628,Q3,94.73
167,Elks Aidmore Children's Center ,628,Q4,98.28
168,Elks Aidmore Children's CenterTransitional Living Program ,629,Q1,88.45
169,Elks Aidmore Children's CenterTransitional Living Program ,629,Q2,80.53
170,Elks Aidmore Children's CenterTransitional Living Program ,629,Q3,67.27
171,Elks Aidmore Children's CenterTransitional Living Program ,629,Q4,85.94
172,Embracing Arms ,944,Q1,92.91
173,Embracing Arms ,944,Q2,104.61
174,Embracing Arms ,944,Q3,100.57
175,Embracing Arms ,944,Q4,101.39
176,"ENA, Inc., dba NECCO (formerly GASAFE) Albany ILP ",5171,Q4,0.0
177,"ENA, Inc., dba NECCO (formerly GASAFE) Jonesboro ILP ",5136,Q1,83.35
178,"ENA, Inc., dba NECCO (formerly GASAFE) Jonesboro ILP ",5136,Q2,86.98
179,"ENA, Inc., dba NECCO (formerly GASAFE) Jonesboro ILP ",5136,Q3,86.66
180,"ENA, Inc., dba NECCO (formerly GASAFE) Jonesboro ILP ",5136,Q4,96.02
181,"ENA, Inc., dba NECCO (formerly GASAFE) Macon ILP ",5172,Q3,102.0
182,"ENA, Inc., dba NECCO (formerly GASAFE) Macon ILP ",5172,Q4,79.54
183,"ENA, Inc., dba NECCO (formerly GASAFE) Martinez ILP ",5137,Q1,57.85
184,"ENA, Inc., dba NECCO (formerly GASAFE) Martinez ILP ",5137,Q2,47.71
185,"ENA, Inc., dba NECCO (formerly GASAFE) Martinez ILP ",5137,Q3,87.56
186,"ENA, Inc., dba NECCO (formerly GASAFE) Martinez ILP ",5137,Q4,89.8
187,Families First Cherokee Boys GroupHome ,637,Q1,100.59
188,Families First Cherokee Boys GroupHome ,637,Q2,100.03
189,Families First Cherokee Boys GroupHome ,637,Q3,76.56
190,Families First Cherokee Boys GroupHome ,637,Q4,97.91
191,Families First College Park BoysGroup Home ,638,Q1,99.57
192,Families First College Park BoysGroup Home ,638,Q2,99.31
193,Families First College Park BoysGroup Home ,638,Q3,86.47
194,Families First College Park BoysGroup Home ,638,Q4,93.48
195,Families First Gwindale Girls GroupHome ,640,Q1,106.22
196,Families First Gwindale Girls GroupHome ,640,Q2,83.5
197,Families First Gwindale Girls GroupHome ,640,Q3,59.03
198,Families First Gwindale Girls GroupHome ,640,Q4,98.58
199,Families First Independent LivingProgram ,643,Q1,82.15
200,Families First Independent LivingProgram ,643,Q2,76.53
201,Families First Independent LivingProgram ,643,Q3,82.61
202,Families First Independent LivingProgram ,643,Q4,98.23
203,Families First Second Chance Home,642,Q1,89.97
204,Families First Second Chance Home,642,Q2,84.45
205,Families First Second Chance Home,642,Q3,80.96
206,Families First Second Chance Home,642,Q4,90.54
207,Family Choices ,5153,Q2,108.0
208,Family Choices ,5153,Q3,109.2
209,Family Choices ,5153,Q4,102.54
210,Family Community Care Centers(formerly Faith Child Caring Centers),634,Q1,86.27
211,Family Community Care Centers(formerly Faith Child Caring Centers),634,Q2,81.91
212,Family Community Care Centers(formerly Faith Child Caring Centers),634,Q3,84.86
213,Family Community Care Centers(formerly Faith Child Caring Centers),634,Q4,86.1
214,"Family Crisis Center of Walker, Dade,Catoosa, Chattooga Counties TheCottage ",645,Q1,109.92
215,"Family Crisis Center of Walker, Dade,Catoosa, Chattooga Counties TheCottage ",645,Q2,110.0
216,"Family Crisis Center of Walker, Dade,Catoosa, Chattooga Counties TheCottage ",645,Q3,104.77
217,"Family Crisis Center of Walker, Dade,Catoosa, Chattooga Counties TheCottage ",645,Q4,107.48
218,Family Support Council Oak HavenSecond Chance Home ,646,Q1,88.55
219,Family Support Council Oak HavenSecond Chance Home ,646,Q2,102.09
220,Family Support Council Oak HavenSecond Chance Home ,646,Q3,94.18
221,Family Support Council Oak HavenSecond Chance Home ,646,Q4,86.49
222,"Foundation Group Home, Inc. CCI",992,Q1,75.48
223,"Foundation Group Home, Inc. CCI",992,Q2,74.76
224,"Foundation Group Home, Inc. CCI",992,Q3,64.75
225,"Foundation Group Home, Inc. CCI",992,Q4,62.64
226,"Genesis House for Homeless, Inc.",654,Q1,97.02
227,"Genesis House for Homeless, Inc.",654,Q2,97.24
228,"Genesis House for Homeless, Inc.",654,Q3,81.98
229,"Genesis House for Homeless, Inc.",654,Q4,99.86
230,Georgia Baptist Children's Home &Family Ministries Alice's House ,663,Q1,108.83
231,Georgia Baptist Children's Home &Family Ministries Alice's House ,663,Q2,108.59
232,Georgia Baptist Children's Home &Family Ministries Alice's House ,663,Q3,98.9
233,Georgia Baptist Children's Home &Family Ministries Alice's House ,663,Q4,103.42
234,Georgia Baptist Children's Home &Family Ministries Angel's House,657,Q1,106.28
235,Georgia Baptist Children's Home &Family Ministries Angel's House,657,Q2,109.92
236,Georgia Baptist Children's Home &Family Ministries Angel's House,657,Q3,109.2
237,Georgia Baptist Children's Home &Family Ministries Angel's House,657,Q4,108.57
238,Georgia Baptist Children's Home &Family Ministries Baxley Campus,664,Q1,101.72
239,Georgia Baptist Children's Home &Family Ministries Baxley Campus,664,Q2,96.44
240,Georgia Baptist Children's Home &Family Ministries Baxley Campus,664,Q3,99.9
241,Georgia Baptist Children's Home &Family Ministries Baxley Campus,664,Q4,92.47
242,Georgia Baptist Children's Home &Family Ministries dba Good ShepherdThe ,685,Q1,99.08
243,Georgia Baptist Children's Home &Family Ministries dba Good ShepherdThe ,685,Q2,101.36
244,Georgia Baptist Children's Home &Family Ministries dba Good ShepherdThe ,685,Q3,105.36
245,Georgia Baptist Children's Home &Family Ministries dba Good ShepherdThe ,685,Q4,104.01
246,Georgia Baptist Children's Home &Family Ministries Fayette Program:Johnson Home ,660,Q1,103.05
247,Georgia Baptist Children's Home &Family Ministries Fayette Program:Johnson Home ,660,Q2,100.12
248,Georgia Baptist Children's Home &Family Ministries Fayette Program:Johnson Home ,660,Q3,100.35
249,Georgia Baptist Children's Home &Family Ministries Fayette Program:Johnson Home ,660,Q4,92.37
250,Georgia Baptist Children's Home &Family Ministries Maternity Home,662,Q1,99.67
251,Georgia Baptist Children's Home &Family Ministries Maternity Home,662,Q2,91.34
252,Georgia Baptist Children's Home &Family Ministries Maternity Home,662,Q3,92.01
253,Georgia Baptist Children's Home &Family Ministries Maternity Home,662,Q4,99.26
254,Georgia Baptist Children's Home &Family Ministries Meansville Campus,666,Q1,99.93
255,Georgia Baptist Children's Home &Family Ministries Meansville Campus,666,Q2,103.38
256,Georgia Baptist Children's Home &Family Ministries Meansville Campus,666,Q3,96.09
257,Georgia Baptist Children's Home &Family Ministries Meansville Campus,666,Q4,99.57
258,Georgia Baptist Children's Home &Family Ministries Palmetto Campus,864,Q1,93.53
259,Georgia Baptist Children's Home &Family Ministries Palmetto Campus,864,Q2,89.03
260,Georgia Baptist Children's Home &Family Ministries Palmetto Campus,864,Q3,90.49
261,Georgia Baptist Children's Home &Family Ministries Palmetto Campus,864,Q4,86.23
262,Georgia Sheriff's Youth Home dbaBoys Ranch ,676,Q1,104.0
263,Georgia Sheriff's Youth Home dbaBoys Ranch ,676,Q2,105.75
264,Georgia Sheriff's Youth Home dbaBoys Ranch ,676,Q3,92.33
265,Georgia Sheriff's Youth Home dbaBoys Ranch ,676,Q4,105.11
266,Georgia Sheriff's Youth Home dbaCherokee Estate ,677,Q1,105.92
267,Georgia Sheriff's Youth Home dbaCherokee Estate ,677,Q2,106.45
268,Georgia Sheriff's Youth Home dbaCherokee Estate ,677,Q3,105.24
269,Georgia Sheriff's Youth Home dbaCherokee Estate ,677,Q4,99.03
270,Georgia Sheriff's Youth Home dbaHerrington Homes ,678,Q1,68.94
271,Georgia Sheriff's Youth Home dbaHerrington Homes ,678,Q2,97.51
272,Georgia Sheriff's Youth Home dbaHerrington Homes ,678,Q3,97.51
273,Georgia Sheriff's Youth Home dbaHerrington Homes ,678,Q4,99.3
274,Georgia Sheriff's Youth Home dbaMountainview ,963,Q1,105.42
275,Georgia Sheriff's Youth Home dbaMountainview ,963,Q2,104.47
276,Georgia Sheriff's Youth Home dbaMountainview ,963,Q3,101.32
277,Georgia Sheriff's Youth Home dbaMountainview ,963,Q4,95.73
278,Georgia Sheriff's Youth Home dbaPineland ,679,Q1,103.07
279,Georgia Sheriff's Youth Home dbaPineland ,679,Q2,103.59
280,Georgia Sheriff's Youth Home dbaPineland ,679,Q3,106.67
281,Georgia Sheriff's Youth Home dbaPineland ,679,Q4,103.4
282,Goshen Valley Foundation dbaGoshen Valley Boy's Ranch ,687,Q1,104.32
283,Goshen Valley Foundation dbaGoshen Valley Boy's Ranch ,687,Q2,109.85
284,Goshen Valley Foundation dbaGoshen Valley Boy's Ranch ,687,Q3,107.6
